"Hugo_Symbol","logFC","logCPM","LR","PValue","FDR"
"DSC3",4.40198049034235,3.10506163584698,110.910513323333,6.19028429076434e-26,1.29039881384012e-23
"PLAUR",2.39740006935863,4.95162205796233,110.898200799273,6.22885062908186e-26,1.29039881384012e-23
"SLC25A42",-1.50063501850101,5.56194157982693,109.620441496354,1.18670451534301e-25,2.40556489497274e-23
"KRT17",4.73420494269405,5.37007368664688,108.746604623536,1.84417152920373e-25,3.68280033818315e-23
"ITGA2",2.28570769060795,6.34283277552065,108.683838090994,1.90350514477505e-25,3.73800822805201e-23
"CDH6",2.1805239514574,4.7879348758544,108.50726364899,2.08086336156382e-25,4.04416866929909e-23
"C19orf33",2.75813513025808,5.59088982004156,108.425620479075,2.16836663798476e-25,4.1712293733968e-23
"CDH17",3.71224508106649,-2.03156550805603,107.572682690231,3.33449738544997e-25,6.34969138489928e-23
"AIM1L",2.63860133567028,0.283738639047688,107.213503130566,3.9970405353882e-25,7.53522081731383e-23
"SERPINA1",2.77343230833053,10.9233708472455,106.355052534225,6.1640073622485e-25,1.15053333458524e-22
"CCL17",4.09640328934568,2.18925264232155,106.246461732813,6.51120212441723e-25,1.20342335734817e-22
"SERPINB2",4.30427919891667,-0.646098875101442,106.107451592426,6.98435044685297e-25,1.27789216979367e-22
"CTSC",2.00108953910855,8.34671296235691,106.088998636848,7.0496915795959e-25,1.27789216979367e-22
"TNFRSF21",1.85766441356535,5.55147750179304,105.925308054837,7.6567476841535e-25,1.37471435563487e-22
"PKIB",2.08256937528282,1.71591244568636,105.872406742184,7.86390442791775e-25,1.39858798372741e-22
"MANCR",4.02913003104108,-2.34401010418281,105.651660241743,8.79058461262154e-25,1.54426208203088e-22
"ICAM1",1.85981000634706,7.44861037334893,105.639023335462,8.84682287605217e-25,1.54426208203088e-22
"ANXA2P1",1.68614848058328,1.68793302810647,105.278783074517,1.06106216339955e-24,1.8351508169182e-22
"BCAN",-7.30583006321343,1.05762910787145,104.862013382328,1.30944385973317e-24,2.24414869488088e-22
"IBSP",4.05781663881961,-0.784211174431187,104.300303860096,1.73862355143217e-24,2.90057798155746e-22
"RAB27B",4.25164556277612,0.146456296089999,104.038061650561,1.9846657115809e-24,3.28201035041431e-22
"ABCA12",3.56738492154265,-1.02558982200253,103.317615958825,2.85503411628728e-24,4.68026984002155e-22
"AMTN",4.63826830017077,-2.29911730944257,103.197348090391,3.03371920179409e-24,4.9303167579502e-22
"PPL",1.65014628383959,8.51355987429352,102.92471160083,3.48129990928443e-24,5.60935605895984e-22
"VCAN",3.0305118770896,5.71998621225499,102.590764361501,4.12049836416745e-24,6.58301992892244e-22
"IL23A",1.99593601983304,0.345707559069087,102.35398633052,4.64363255779087e-24,7.35645050247677e-22
"NBL1",2.02686859516385,6.70131905638975,101.782760178315,6.19570277504055e-24,9.7334490595887e-22
"ST6GALNAC5",3.84547854534815,3.89570682635135,101.748921229478,6.30245075582264e-24,9.81932245031144e-22
"PVRL4",2.51355336855841,5.02724703789707,101.124932702054,8.63609689067368e-24,1.32363982587789e-21
"FAM83A",3.4019186707179,2.50685197742263,100.607833015262,1.12123449174031e-23,1.70463811599099e-21
"ASPN",2.74822214360633,4.38270370291204,100.514117502958,1.17556065308013e-23,1.77293355454933e-21
"B3GNT3",3.59390913666565,5.49535994921941,100.164598311357,1.40243970383441e-23,2.09831692830844e-21
"PKP1",2.74584661387864,2.23000418284042,100.07827261334,1.46491776667855e-23,2.17453777460032e-21
"ANXA8L2",4.57548192754871,0.331827423127249,99.9121751996498,1.59306925693039e-23,2.34629231497279e-21
"GALNT5",3.3458429840785,1.42589778279831,99.3830586212345,2.08095088403525e-23,2.99466305846049e-21
"TMPRSS4",3.62002473688501,6.12605950489488,99.2608216622207,2.21343802035506e-23,3.13742357591981e-21
"OR13A1",3.15310995143347,-1.45801338391209,99.2042744310328,2.27754939361097e-23,3.18047119765585e-21
"MET",1.78344818456853,9.06450053386273,99.0452936273078,2.46792308976353e-23,3.41623087571382e-21
"CD1A",4.21279617112809,2.76699256133624,99.0335345905105,2.4826205706174e-23,3.41623087571382e-21
